iter	Logloss
0	0.6382456329
1	0.5909507203
2	0.5441473552
3	0.5081581895
4	0.474272398
5	0.4440688345
6	0.4185151441
7	0.3975249122
8	0.376623097
9	0.3600278912
10	0.3429379495
11	0.330510204
12	0.3180332532
13	0.3074660061
14	0.2976748012
15	0.2899568636
16	0.2821508924
17	0.2745582408
18	0.269009824
19	0.2638787258
20	0.2583484293
21	0.2537859346
22	0.2498917844
23	0.2460290893
24	0.2432597414
25	0.2397824764
26	0.2369057542
27	0.2340720309
28	0.231290704
29	0.2288466289
30	0.2268255199
31	0.2244559437
32	0.2226856716
33	0.2211177319
34	0.2193515578
35	0.2168869256
36	0.2154718808
37	0.213767577
38	0.2122233595
39	0.2110535998
40	0.2098332518
41	0.2079568006
42	0.2067459022
43	0.2060785608
44	0.2045884648
45	0.2033523761
46	0.2022662804
47	0.2011540889
48	0.199963531
49	0.1988698019
50	0.1982099687
51	0.1974001398
52	0.1962743791
53	0.1948620815
54	0.1934744403
55	0.1925255904
56	0.1918810336
57	0.1907556032
58	0.1901208045
59	0.1891301502
60	0.1882958086
61	0.1876106127
62	0.186956915
63	0.1860055336
64	0.1850108403
65	0.1844690593
66	0.1836119167
67	0.1829979062
68	0.1823580552
69	0.1816299149
70	0.181083064
71	0.1804901297
72	0.1800050417
73	0.1793362747
74	0.178611662
75	0.1781224553
76	0.1777756811
77	0.1773481086
78	0.1768217825
79	0.1762027698
80	0.1756142933
81	0.1752618332
82	0.1746820454
83	0.1741155171
84	0.1733129253
85	0.1728888291
86	0.1722315621
87	0.1719520244
88	0.1712179408
89	0.1709479291
90	0.1704670249
91	0.1701014935
92	0.1696053737
93	0.16911264
94	0.1687251637
95	0.1683152742
96	0.1679998422
97	0.1675785213
98	0.1671223363
99	0.1666562059
100	0.1662868289
101	0.1660717271
102	0.1654756995
103	0.1650925891
104	0.1647986107
105	0.1641378451
106	0.1637369712
107	0.1632746525
108	0.1628578228
109	0.162540809
110	0.1621313658
111	0.1611870623
112	0.1605675198
113	0.1602729157
114	0.1598365419
115	0.1594684687
116	0.159095693
117	0.1588426226
118	0.1583070883
119	0.1580830831
120	0.157741302
121	0.1574262431
122	0.1570157606
123	0.1566825169
124	0.1563298999
125	0.1560811071
126	0.1556676019
127	0.1554605453
128	0.1550883243
129	0.1547279331
130	0.1545029219
131	0.1542147938
132	0.1538162519
133	0.1536518459
134	0.1534541011
135	0.1530434127
136	0.1525938197
137	0.1522641399
138	0.1520814653
139	0.1519287441
140	0.1516487226
141	0.1511451042
142	0.1510143698
143	0.1509563356
144	0.1504502696
145	0.1502570766
146	0.1500245508
147	0.1498993711
148	0.149462536
149	0.1493171335
150	0.1489849382
151	0.1487087831
152	0.1485118384
153	0.1482745604
154	0.1479877929
155	0.1475493878
156	0.1473322645
157	0.146961026
158	0.1467577896
159	0.146612342
160	0.1464100266
161	0.1462422391
162	0.1459650266
163	0.1456941032
164	0.1455329461
165	0.1453367472
166	0.1451437939
167	0.1448385037
168	0.1445822302
169	0.1442562046
170	0.1440326875
171	0.1437705096
172	0.1435626682
173	0.1433682883
174	0.1432304384
175	0.1428626881
176	0.1425712482
177	0.1423985403
178	0.1420699264
179	0.1419915023
180	0.1416668689
181	0.1413678986
182	0.1411478235
183	0.1408628292
184	0.1407238933
185	0.1405954639
186	0.1403220005
187	0.140203561
188	0.139889128
189	0.1396692421
190	0.1394833045
191	0.139299387
192	0.1390182882
193	0.1389048986
194	0.1387317446
195	0.1386383175
196	0.1385243427
197	0.1384653991
198	0.138262785
199	0.1381067301
200	0.1379588006
201	0.1377423166
202	0.1375903429
203	0.137247777
204	0.1369811781
205	0.1368310046
206	0.136697974
207	0.1364793497
208	0.136440076
209	0.1362108908
210	0.1360891081
211	0.1358374497
212	0.1355479334
213	0.1353311792
214	0.1351619537
215	0.1350758393
216	0.1347977241
217	0.1345284368
218	0.1343834327
219	0.1340798166
220	0.1339264125
221	0.1335826782
222	0.1332792036
223	0.1331618835
224	0.1330690531
225	0.1328039851
226	0.1325335435
227	0.1322854616
228	0.132050214
229	0.1317955974
230	0.1317140523
231	0.1314172434
232	0.1311147314
233	0.1308264268
234	0.1306825238
235	0.1305516597
236	0.1302983734
237	0.1302041046
238	0.1299751623
239	0.1297452259
240	0.1296126693
241	0.1294623289
242	0.1291805107
243	0.1289411881
244	0.1287342359
245	0.1285060682
246	0.12827962
247	0.1280780671
248	0.1278127414
249	0.1275823373
