iter	Passed	Remaining
0	13	13367
1	23	11519
2	34	11357
3	47	11774
4	57	11360
5	69	11542
6	81	11508
7	92	11472
8	102	11261
9	115	11398
10	128	11563
11	145	11979
12	156	11879
13	168	11884
14	180	11840
15	189	11660
16	200	11575
17	211	11538
18	221	11420
19	231	11364
20	243	11368
21	254	11293
22	267	11351
23	279	11355
24	290	11339
25	300	11254
26	311	11235
27	323	11243
28	333	11163
29	345	11178
30	359	11222
31	368	11150
32	381	11184
33	392	11152
34	402	11106
35	417	11178
36	428	11157
37	441	11164
38	451	11115
39	462	11104
40	476	11140
41	488	11140
42	497	11075
43	510	11083
44	521	11075
45	531	11032
46	544	11032
47	556	11036
48	566	10991
49	578	10989
50	590	10987
51	600	10950
52	612	10946
53	624	10936
54	635	10925
55	645	10884
56	657	10869
57	666	10826
58	678	10814
59	691	10827
60	703	10822
61	713	10799
62	725	10788
63	737	10788
64	747	10749
65	758	10739
66	772	10751
67	781	10716
68	793	10710
69	807	10732
70	819	10725
71	829	10687
72	840	10677
73	853	10676
74	863	10651
75	875	10648
76	888	10654
77	901	10652
78	911	10626
79	922	10612
80	935	10610
81	945	10582
82	956	10569
83	969	10570
84	979	10542
85	991	10534
86	1004	10540
87	1016	10531
88	1026	10508
89	1038	10501
90	1051	10499
91	1060	10465
92	1072	10459
93	1084	10455
94	1094	10429
95	1108	10434
96	1119	10419
97	1136	10461
98	1148	10455
99	1158	10430
100	1171	10424
101	1183	10415
102	1192	10388
103	1208	10410
104	1219	10391
105	1231	10386
106	1241	10360
107	1253	10350
108	1265	10342
109	1274	10314
110	1287	10308
111	1300	10307
112	1312	10301
113	1321	10272
114	1334	10266
115	1346	10264
116	1357	10244
117	1369	10237
118	1380	10223
119	1391	10200
120	1402	10189
121	1415	10188
122	1425	10166
123	1437	10157
124	1450	10156
125	1462	10146
126	1472	10124
127	1484	10115
128	1496	10104
129	1507	10086
130	1518	10076
131	1531	10070
132	1543	10061
133	1553	10037
134	1565	10029
135	1576	10017
136	1586	9994
137	1600	10000
138	1612	9990
139	1622	9965
140	1635	9962
141	1646	9948
142	1655	9924
143	1668	9916
144	1680	9909
145	1693	9904
146	1703	9886
147	1715	9874
148	1728	9869
149	1738	9852
150	1750	9840
151	1761	9827
152	1771	9806
153	1783	9799
154	1795	9786
155	1808	9784
156	1817	9760
157	1829	9748
158	1841	9739
159	1851	9720
160	1862	9707
161	1875	9703
162	1886	9687
163	1898	9680
164	1910	9670
165	1927	9685
166	1942	9690
167	1952	9671
168	1964	9660
169	1977	9655
170	1989	9645
171	2000	9632
172	2014	9628
173	2026	9619
174	2038	9611
175	2048	9591
176	2061	9583
177	2073	9576
178	2084	9558
179	2094	9543
180	2107	9534
181	2117	9516
182	2129	9507
183	2143	9505
184	2156	9498
185	2166	9480
186	2178	9472
187	2189	9456
188	2199	9437
189	2211	9426
190	2223	9415
191	2232	9393
192	2244	9385
193	2257	9379
194	2270	9373
195	2279	9351
196	2291	9340
197	2303	9331
198	2313	9312
199	2325	9301
200	2337	9291
201	2347	9275
202	2360	9267
203	2374	9263
204	2385	9252
205	2396	9238
206	2408	9227
207	2419	9213
208	2429	9193
209	2441	9182
210	2452	9170
211	2462	9152
212	2475	9145
213	2486	9131
214	2495	9112
215	2507	9102
216	2520	9094
217	2534	9090
218	2543	9069
219	2554	9055
220	2564	9040
221	2576	9028
222	2589	9022
223	2601	9012
224	2611	8993
225	2622	8981
226	2634	8970
227	2644	8952
228	2655	8940
229	2667	8931
230	2677	8912
231	2690	8906
232	2701	8893
233	2713	8882
234	2722	8863
235	2734	8852
236	2744	8834
237	2755	8822
238	2767	8813
239	2777	8796
240	2792	8795
241	2804	8784
242	2816	8772
243	2826	8756
244	2839	8748
245	2851	8739
246	2864	8733
247	2874	8716
248	2887	8709
249	2899	8698
250	2908	8679
251	2920	8668
252	2932	8659
253	2942	8643
254	2954	8630
255	2966	8620
256	2978	8610
257	2990	8600
258	3002	8591
259	3014	8579
260	3024	8563
261	3035	8550
262	3046	8538
263	3055	8519
264	3067	8507
265	3078	8495
266	3088	8479
267	3103	8477
268	3114	8463
269	3126	8454
270	3135	8435
271	3147	8425
272	3159	8413
273	3169	8397
274	3182	8389
275	3196	8384
276	3208	8373
277	3217	8356
278	3229	8346
279	3240	8333
280	3250	8317
281	3262	8306
282	3271	8287
283	3282	8274
284	3295	8266
285	3304	8249
286	3315	8235
287	3326	8224
288	3336	8209
289	3348	8197
290	3360	8187
291	3371	8174
292	3380	8157
293	3392	8146
294	3402	8130
295	3414	8120
296	3425	8108
297	3435	8093
298	3446	8081
299	3459	8071
300	3468	8054
301	3479	8042
302	3492	8033
303	3503	8021
304	3515	8011
305	3527	7999
306	3539	7989
307	3549	7975
308	3561	7965
309	3573	7953
310	3584	7940
311	3596	7930
312	3607	7919
313	3621	7911
314	3630	7895
315	3641	7883
316	3654	7873
317	3663	7857
318	3674	7843
319	3687	7835
320	3696	7819
321	3708	7809
322	3721	7799
323	3730	7784
324	3741	7770
325	3754	7761
326	3764	7747
327	3775	7735
328	3787	7725
329	3798	7711
330	3809	7700
331	3823	7693
332	3835	7681
333	3844	7664
334	3856	7655
335	3868	7644
336	3877	7628
337	3889	7618
338	3901	7606
339	3910	7590
340	3923	7582
341	3936	7572
342	3946	7560
343	3959	7550
344	3973	7543
345	3985	7533
346	3995	7519
347	4007	7507
348	4019	7498
